Disease,Diet,Diet_Telugu
Jaundice,"Liver-Healthy Diet, Low-fat Diet, Fruits and vegetables, Whole grains, Lean proteins","లివర్‌కు అనుకూలమైన ఆహారం, తక్కువ కొవ్వు, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు, లీన్ ప్రోటీన్లు"
Malaria,"Malaria Diet, Hydration, High-Calorie Diet, Soft and bland foods, Oral rehydration solutions","మలేరియా డైట్, తగినంత నీరు, అధిక కాలరీల ఆహారం, మృదువైన ఆహారం, ఒఆరెఎస్ ద్రావణాలు"
Chicken pox,"Chicken Pox Diet, High-Calorie Diet, Soft and bland foods, Hydration, Protein-rich foods","చికెన్ పాక్స్ డైట్, అధిక కాలరీల ఆహారం, మృదువైన ఆహారం, తగినంత నీరు, ప్రోటీన్ అధికంగా ఉన్న ఆహారం"
Dengue,"Dengue Diet, Hydration, High-Calorie Diet, Soft and bland foods, Protein-rich foods","డెంగ్యూ డైట్, తగినంత నీరు, అధిక కాలరీల ఆహారం, మృదువైన ఆహారం, ప్రోటీన్ అధికంగా ఉన్న ఆహారం"
Typhoid,"Typhoid Diet, High-Calorie Diet, Soft and bland foods, Hydration, Protein-rich foods","టైఫాయిడ్ డైట్, అధిక కాలరీల ఆహారం, మృదువైన ఆహారం, తగినంత నీరు, ప్రోటీన్ అధికంగా ఉన్న ఆహారం"
hepatitis A,"Hepatitis A Diet, High-Calorie Diet, Soft and bland foods, Hydration, Protein-rich foods","హెపటైటిస్ A డైట్, అధిక కాలరీల ఆహారం, మృదువైన ఆహారం, తగినంత నీరు, ప్రోటీన్ అధికంగా ఉన్న ఆహారం"
Hepatitis B,"Hepatitis B Diet, High-Calorie Diet, Soft and bland foods, Hydration, Protein-rich foods","హెపటైటిస్ B డైట్, అధిక కాలరీల ఆహారం, మృదువైన ఆహారం, తగినంత నీరు, ప్రోటీన్ అధికంగా ఉన్న ఆహారం"
Hepatitis C,"Hepatitis C Diet, High-Calorie Diet, Soft and bland foods, Hydration, Protein-rich foods","హెపటైటిస్ C డైట్, అధిక కాలరీల ఆహారం, మృదువైన ఆహారం, తగినంత నీరు, ప్రోటీన్ అధికంగా ఉన్న ఆహారం"
Hepatitis D,"Hepatitis D Diet, High-Calorie Diet, Soft and bland foods, Hydration, Protein-rich foods","హెపటైటిస్ D డైట్, అధిక కాలరీల ఆహారం, మృదువైన ఆహారం, తగినంత నీరు, ప్రోటీన్ అధికంగా ఉన్న ఆహారం"
Hepatitis E,"Hepatitis E Diet, High-Calorie Diet, Soft and bland foods, Hydration, Protein-rich foods","హెపటైటిస్ E డైట్, అధిక కాలరీల ఆహారం, మృదువైన ఆహారం, తగినంత నీరు, ప్రోటీన్ అధికంగా ఉన్న ఆహారం"
Alcoholic hepatitis,"Liver-Healthy Diet, Low-fat Diet, Fruits and vegetables, Whole grains, Lean proteins","లివర్‌కు ఆరోగ్యకరమైన ఆహారం, తక్కువ కొవ్వు ఆహారం, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు, లీన్ ప్రోటీన్లు"
Tuberculosis,"TB Diet, High-Calorie Diet, Soft and bland foods, Hydration, Protein-rich foods","క్షయవ్యాధి డైట్, అధిక కాలరీల ఆహారం, మృదువైన ఆహారం, తగినంత నీరు, ప్రోటీన్ అధికంగా ఉన్న ఆహారం"
Common Cold,"Cold Diet, Hydration, Warm fluids, Rest, Honey and lemon tea","జలుబు డైట్, తగినంత నీరు, వెచ్చని ద్రవాలు, విశ్రాంతి, తేనె మరియు నిమ్మకాయ టీ"
Pneumonia,"Pneumonia Diet, High-Calorie Diet, Soft and bland foods, Hydration, Protein-rich foods","న్యూమోనియా డైట్, అధిక కాలరీల ఆహారం, మృదువైన ఆహారం, తగినంత నీరు, ప్రోటీన్ అధికంగా ఉన్న ఆహారం"
Dimorphic hemmorhoids(piles),"Hemorrhoids Diet, High-Fiber Diet, Hydration, Warm baths, Stool softeners","మలవిసర్జనకు సహాయపడే డైట్, అధిక ఫైబర్ ఆహారం, తగినంత నీరు, వెచ్చని నీటితో స్నానం, మలబద్ధక నివారణ మందులు"
Heart attack,"Heart-Healthy Diet, Low-sodium foods, Fruits and vegetables, Whole grains, Lean proteins","హృదయానికి అనుకూలమైన ఆహారం, తక్కువ ఉప్పు, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు, లీన్ ప్రోటీన్లు"
Varicose veins,"Varicose Veins Diet, High-Fiber Diet, Fruits and vegetables, Whole grains, Low-sodium foods","వెరికోస్ వీన్స్ డైట్, అధిక ఫైబర్ ఆహారం, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు, తక్కువ ఉప్పు"
Hypothyroidism,"Hypothyroidism Diet, Iodine-rich foods, Selenium-rich foods, Fruits and vegetables, Whole grains","థైరాయిడ్ పనితీరుకు అనుకూలమైన ఆహారం, అయోడిన్ ఉన్న ఆహారం, సెలీనియం ఉన్న ఆహారం, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు"
Hyperthyroidism,"Hyperthyroidism Diet, Low-Iodine Diet, Calcium-rich foods, Selenium-rich foods, Fruits and vegetables","హైపర్‌థైరాయిడిజం డైట్, తక్కువ అయోడిన్ ఆహారం, కాల్షియం ఉన్న ఆహారం, సెలీనియం ఉన్న ఆహారం, పండ్లు మరియు కూరగాయలు"
Hypoglycemia,"Hypoglycemia Diet, Complex carbohydrates, Protein-rich snacks, Fiber-rich foods, Healthy fats","హైపోగ్లైసీమియా డైట్, సంక్లిష్ట కార్బోహైడ్రేట్లు, ప్రోటీన్ ఉన్న స్నాక్స్, ఫైబర్ ఉన్న ఆహారం, ఆరోగ్యకరమైన కొవ్వులు"
Osteoarthristis,"Arthritis Diet, Anti-Inflammatory Diet, Omega-3-rich foods, Fruits and vegetables, Whole grains","ఆర్థ్రిటిస్ డైట్, వాపును తగ్గించే ఆహారం, ఒమెగా-3 ఉన్న ఆహారం, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు"
Arthritis,"Arthritis Diet, Anti-Inflammatory Diet, Omega-3-rich foods, Fruits and vegetables, Whole grains","ఆర్థ్రిటిస్ డైట్, వాపును తగ్గించే ఆహారం, ఒమెగా-3 ఉన్న ఆహారం, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు"
(vertigo) Paroymsal Positional Vertigo,"Vertigo Diet, Low-Salt Diet, Hydration, Ginger tea, Vitamin D-rich foods","వెర్టిగో డైట్, తక్కువ ఉప్పు, తగినంత నీరు, అల్లం టీ, విటమిన్ D ఉన్న ఆహారం"
Acne,"Acne Diet, Low-Glycemic Diet, Hydration, Fruits and vegetables, Probiotics","ముఖదోషాల నివారణ ఆహారం, తక్కువ గ్లైసెమిక్ ఆహారం, తగినంత నీరు, పండ్లు మరియు కూరగాయలు, ప్రోబయాటిక్స్"
Urinary tract infection,"UTI Diet, Hydration, Cranberry juice, Probiotics, Vitamin C-rich foods","యూరినరీ ట్రాక్ట్ ఇన్ఫెక్షన్ డైట్, తగినంత నీరు, క్రాన్బెర్రీ జ్యూస్, ప్రోబయాటిక్స్, విటమిన్ C ఉన్న ఆహారం"
Psoriasis,"Psoriasis Diet, Anti-Inflammatory Diet, Omega-3-rich foods, Fruits and vegetables, Whole grains","సోరియాసిస్ డైట్, వాపును తగ్గించే ఆహారం, ఒమెగా-3 ఉన్న ఆహారం, పండ్లు మరియు కూరగాయలు, సంపూర్ణ ధాన్యాలు"
Impetigo,"Impetigo Diet, Antibiotic treatment, Fruits and vegetables, Hydration, Protein-rich foods","ఇంపెటిగో డైట్, యాంటీబయోటిక్ చికిత్స, పండ్లు మరియు కూరగాయలు, తగినంత నీరు, ప్రోటీన్ ఉన్న ఆహారం"
