,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Precaution_1_Telugu,Precaution_2_Telugu,Precaution_3_Telugu,Precaution_4_Telugu
23,AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up,ఓపెన్ గాయాలను నివారించండి,సాధ్యమైతే పీపీఈ ధరించండి,డాక్టర్‌ను సంప్రదించండి,ఫాలో అప్ చేయండి
24,Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor,మసాజ్ చేయండి,ఆరోగ్యకరమైన ఆహారం తీసుకోండి,వ్యాయామం చేయండి,డాక్టర్‌ను సంప్రదించండి
25,Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication,అధిక క్యాలొరీల కూరగాయలు తినండి,యాంటీబయాటిక్ థెరపీ తీసుకోండి,డాక్టర్‌ను సంప్రదించండి,మందులు తీసుకోండి
26,Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication,సమీపంలోని ఆసుపత్రిని సంప్రదించండి,టీకా వేయించుకోండి,ఆరోగ్యకరమైన ఆహారం తీసుకోండి,మందులు తీసుకోండి
27,Fungal infection,Keep skin dry,Use antifungal powder,Wear loose clothes,Avoid sharing towels,చర్మాన్ని పొడిగా ఉంచండి,యాంటిఫంగల్ పౌడర్ ఉపయోగించండి,విరివైన బట్టలు ధరించండి,టవల్లను పంచుకోవడం నివారించండి
28,Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication,సమీపంలోని ఆసుపత్రిని సంప్రదించండి,టీకా వేయించుకోండి,ఆరోగ్యకరమైన ఆహారం తీసుకోండి,మందులు తీసుకోండి
29,Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor,ధ్యానం చేయండి,ఒత్తిడిని తగ్గించండి,సూర్యంలో పొలారాయిడ్ కళ్లద్దాలు వాడండి,డాక్టర్‌ను సంప్రదించండి
30,Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help,విరివైన బట్టలు ధరించండి,లోతుగా శ్వాస తీసుకోండి,ట్రిగ్గర్‌ నుంచి దూరంగా ఉండండి,సహాయం కోరండి
31,Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up,మద్యం సేవను ఆపండి,డాక్టర్‌ను సంప్రదించండి,మందులు వాడండి,ఫాలో అప్ చేయండి
32,Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,చాలా నీరు త్రాగండి,మిల్క్ తిసిల్ వాడండి,పండ్లు మరియు ఫైబర్ ఆహారం తినండి,మందులు వాడండి
33,Hepatitis E,stop alcohol consumption,rest,consult doctor,medication,మద్యం సేవను ఆపండి,విశ్రాంతి తీసుకోండి,డాక్టర్‌ను సంప్రదించండి,మందులు వాడండి
34,Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,బాబాయ ఆకు జ్యూస్ త్రాగండి,కొవ్వు మరియు మసాలా ఆహారం నివారించండి,దోమల నుండి దూరంగా ఉండండి,దాహం నివారించుకోండి
35,Hepatitis D,consult doctor,medication,eat healthy,follow up,డాక్టర్‌ను సంప్రదించండి,మందులు వాడండి,ఆరోగ్యకరమైన ఆహారం తినండి,ఫాలో అప్ చేయండి
36,Heart attack,call ambulance,chew or swallow asprin,keep calm,,అంబులెన్స్ కు కాల్ చేయండి,ఆస్పిరిన్ నమలండి లేదా మింగండి,శాంతంగా ఉండండి,
37,Pneumonia,consult doctor,medication,rest,follow up,డాక్టర్‌ను సంప్రదించండి,మందులు వాడండి,విశ్రాంతి తీసుకోండి,ఫాలో అప్ చేయండి
38,Arthritis,exercise,use hot and cold therapy,try acupuncture,massage,వ్యాయామం చేయండి,వెచ్చని మరియు చల్లటి చికిత్సలు వాడండి,ఆకుపంక్చర్ ప్రయత్నించండి,మసాజ్ చేయండి
39,Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,కొంతకాలం ఘన ఆహారం తినకండి,చిన్న మోతాదులో నీరు త్రాగండి,విశ్రాంతి తీసుకోండి,మళ్లీ తినడాన్ని నెమ్మదిగా ప్రారంభించండి
40,Tuberculosis,cover mouth,consult doctor,medication,rest,నోరు మూసి ఉంచండి,డాక్టర్‌ను సంప్రదించండి,మందులు వాడండి,విశ్రాంతి తీసుకోండి
