Disease,Description,Description_Telugu
Malaria,"Malaria is a mosquito-borne infectious disease affecting humans and other animals.","మలేరియా అనేది దోమల ద్వారా వ్యాపించే అంటువ్యాధి."
Chicken pox,"Chicken pox is a highly contagious viral infection causing an itchy rash.","చికెన్‌పాక్స్ అనేది బాగా వ్యాప్తి చెందే వైరల్ ఇన్ఫెక్షన్, ఇది ఖజురంతో కూడిన చర్మ రోగాన్ని కలిగిస్తుంది."
Dengue,"Dengue is a mosquito-borne viral infection causing flu-like symptoms.","డెంగ్యూ అనేది దోమల ద్వారా వ్యాపించే వైరస్, ఇది జలుబు వంటి లక్షణాలను కలిగిస్తుంది."
Typhoid,"Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.","టైఫాయిడ్ అనేది బ్యాక్టీరియా వల్ల కలిగే వ్యాధి, ఇది జ్వరాన్ని మరియు జీర్ణ సంబంధిత లక్షణాలను కలిగిస్తుంది."
hepatitis A,"hepatitis A is a viral liver disease.","హెపటైటిస్ A అనేది కాలేయాన్ని ప్రభావితం చేసే వైరల్ వ్యాధి."
Hepatitis B,"Hepatitis B is a viral infection that attacks the liver.","హెపటైటిస్ B అనేది కాలేయాన్ని దాడి చేసే వైరల్ సంక్రమణ."
Hepatitis C,"Hepatitis C is a viral infection that causes liver inflammation.","హెపటైటిస్ C అనేది కాలేయానికి శోథం కలిగించే వైరల్ వ్యాధి."
Hepatitis D,"Hepatitis D is a serious liver disease caused by the hepatitis D virus.","హెపటైటిస్ D అనేది హెపటైటిస్ D వైరస్ వల్ల కలిగే తీవ్రమైన కాలేయ వ్యాధి."
Hepatitis E,"Hepatitis E is a viral infection that causes liver inflammation.","హెపటైటిస్ E అనేది కాలేయానికి శోథం కలిగించే వైరల్ ఇన్ఫెక్షన్."
Alcoholic hepatitis,"Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.","అల్కహాలిక్ హెపటైటిస్ అనేది మద్యం సేవ వల్ల కలిగే కాలేయానికి శోథం."
Tuberculosis,"Tuberculosis is a bacterial infection that primarily affects the lungs.","ట్యూబర్క్యూలోసిస్ అనేది ప్రధానంగా ఊపిరితిత్తులను ప్రభావితం చేసే బ్యాక్టీరియా సంక్రమణ."
Common Cold,"Common Cold is a viral infection of the upper respiratory tract.","కామన్ కోల్డ్ అనేది ఎగువ శ్వాసనాళాలకు వచ్చే వైరల్ సంక్రమణ."
Pneumonia,"Pneumonia is an inflammatory condition affecting the air sacs in the lungs.","న్యూమోనియా అనేది ఊపిరితిత్తుల్లో గాలి బుడగలకు వచ్చే శోథంతో కూడిన స్థితి."
Dimorphic hemmorhoids(piles),"Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.","పైల్స్ అనేది మలాశయంలో నరాలు ఊబబడే స్థితి."
Heart attack,"Heart attack is a sudden and severe reduction in blood flow to the heart muscle.","హార్ట్ అటాక్ అనేది గుండెకు రక్త ప్రవాహం తక్షణంగా తగ్గిపోవడం వల్ల సంభవించే తీవ్ర స్థితి."
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs.","వెరికోస్ వెయిన్‌లు అనేవి ఎడమటి, వంకరగా మారిన నరాలు, సాధారణంగా కాళ్లపై కనిపిస్తాయి."
Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.","హైపోథైరాయిడిజం అనేది థైరాయిడ్ గ్రంథి తగినంత హార్మోన్ ఉత్పత్తి చేయని పరిస్థితి."
Hyperthyroidism,"Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.","హైపర్ థైరాయిడిజం అనేది థైరాయిడ్ హార్మోన్ అధికంగా ఉత్పత్తి అయ్యే పరిస్థితి."
Hypoglycemia,"Hypoglycemia is a condition characterized by abnormally low blood sugar levels.","హైపోగ్లైసీమియా అనేది రక్తంలో చక్కెర స్థాయి異చ్చనంగా తగ్గిపోవడం వల్ల కలిగే స్థితి."
Osteoarthristis,"Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.","ఆస్టియోఆర్థరైటిస్ అనేది కీళ్లలో కార్టిలేజ్ క్షయమవుతూ వచ్చే కీళ్ల వ్యాధి."
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","ఆర్థరైటిస్ అనేది కీళ్లలో వాపు, నొప్పి మరియు గట్టితనాన్ని కలిగించే వ్యాధి."
(vertigo) Paroymsal Positional Vertigo,"(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.","(వర్టిగో) పారాక్సిస్మల్ పొజిషనల్ వెర్టిగో అనేది తల తిరుగుడులకు కారణమయ్యే తలనుప్పి వంటి పరిస్థితి."
Acne,"Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.","ఆక్నే అనేది రోమరంధ్రాల్లో తైలం మరియు మృత చర్మ కణాలు దూళిపడి ఏర్పడే చర్మ రుగ్మత."
Urinary tract infection,"Urinary tract infection is an infection in any part of the urinary system.","యూరినరీ ట్రాక్ట్ ఇన్ఫెక్షన్ అనేది మూత్ర సంబంధిత వ్యవస్థలో ఏదైనా భాగంలో సంక్రమణ."
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches.","సోరియాసిస్ అనేది ఎరుపు, కిచకిచలతో కూడిన, పొడిగా తొలిచే చర్మ స్థితిగా ఉండే దీర్ఘకాలిక వ్యాధి."
Impetigo,"Impetigo is a highly contagious skin infection causing red sores that can break open.","ఇంపెటిగో అనేది బాగా వ్యాప్తి చెందే చర్మ సంక్రమణ, ఇది ఎరుపు గాయాలను కలిగిస్తుంది."
