Disease,Medication,Medication_Telugu
Varicose veins,"Levothyroxine, Antithyroid medications, Beta-blockers, Radioactive iodine, Thyroid surgery","లెవోథైరాక్సిన్, యాంటీథైరాయిడ్ మందులు, బీటా-బ్లాకర్స్, రేడియోయాక్టివ్ అయోడిన్, థైరాయిడ్ సర్జరీ"
Hypothyroidism,"Antithyroid medications, Radioactive iodine, Thyroid surgery, Beta-blockers, Corticosteroids","యాంటీథైరాయిడ్ మందులు, రేడియోయాక్టివ్ అయోడిన్, థైరాయిడ్ సర్జరీ, బీటా-బ్లాకర్స్, కార్టికోస్టెరాయిడ్స్"
Hyperthyroidism,"Glucose tablets, Candy or juice, Glucagon injection, IV dextrose, Diazoxide","గ్లూకోజ్ మాత్రలు, క్యాండీ లేదా రసం, గ్లూకాగాన్ ఇంజెక్షన్, IV డెక్స్ట్రోస్, డయాజాక్సైడ్"
Hypoglycemia,"Pain relievers, Exercise, Hot and cold packs, Joint protection, Physical therapy","నొప్పి నివారణలు, వ్యాయామం, వేడి మరియు చల్లని ప్యాక్‌లు, కీళ్ల రక్షణ, శారీరక చికిత్స"
Osteoarthristis,"NSAIDs, Disease-modifying antirheumatic drugs (DMARDs), Biologics, Corticosteroids, Joint replacement surgery","NSAIDలు, వ్యాధిని సవరించే యాంటీ రుమాటిక్ మందులు (DMARDలు), బయోలాజిక్స్, కార్టికోస్టెరాయిడ్స్, కీళ్ల భర్తీ శస్త్రచికిత్స"
Arthritis,"Vestibular rehabilitation, Canalith repositioning, Medications for nausea, Surgery, Home exercises","వెస్టిబ్యులర్ పునరావాసం, కెనాలిత్ రీపొజిషనింగ్, వికారం కోసం మందులు, సర్జరీ, హోమ్ వ్యాయామాలు"
(vertigo) Paroymsal Positional Vertigo,"Topical treatments, Antibiotics, Oral medications, Hormonal treatments, Isotretinoin","టాపికల్ ట్రీట్‌మెంట్స్, యాంటీబయాటిక్స్, ఓరల్ మెడిసిన్స్, హార్మోనల్ ట్రీట్‌మెంట్స్, ఐసోట్రిటినోయిన్"
Acne,"Antibiotics, Pain relievers, Antihistamines, Corticosteroids, Topical treatments","యాంటీబయాటిక్స్, నొప్పి నివారణలు, యాంటిహిస్టామైన్లు, కార్టికోస్టెరాయిడ్స్, టాపికల్ ట్రీట్‌మెంట్స్"
Urinary tract infection,"Antibiotics, Urinary analgesics, Phenazopyridine, Antispasmodics, Probiotics","యాంటీబయాటిక్స్, యూరినరీ అనాల్జెసిక్స్, ఫెనాజోపైరిడిన్, యాంటిస్పాస్మోడిక్స్, ప్రోబయోటిక్స్"
Psoriasis,"Topical treatments, Phototherapy, Systemic medications, Biologics, Coal tar","టాపికల్ ట్రీట్‌మెంట్స్, ఫోటోథెరపీ, సిస్టమిక్ మెడిసిన్స్, బయోలాజిక్స్, కోల్ టార్"
Impetigo,"Topical antibiotics, Oral antibiotics, Antiseptics, Ointments, Warm compresses","టాపికల్ యాంటీబయాటిక్స్, ఓరల్ యాంటీబయాటిక్స్, యాంటిసెప్టిక్స్, లేపనాలు, వార్మ్ కంప్రెసెస్"
