,Unnamed: 0,disease,workout,workout_Telugu
35,35,Chronic cholestasis,Consume antioxidant-rich foods,యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉన్న ఆహారం తినండి
36,36,Chronic cholestasis,Include omega-3 fatty acids,ఒమేగా-3 ఫ్యాటీ ఆమ్లాలు ఉన్న ఆహారం తీసుకోండి
37,37,Chronic cholestasis,Include lean proteins,తక్కువ కొవ్వు ఉన్న ప్రోటీన్లు తీసుకోండి
38,38,Chronic cholestasis,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
39,39,Chronic cholestasis,Avoid fried foods,వేయించిన ఆహారాలు నివారించండి
40,40,Drug Reaction,Discontinue offending medication,హానికరమైన మందులు మానేయండి
41,41,Drug Reaction,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
42,42,Drug Reaction,Include anti-inflammatory foods,ఎంపికైన ఆహారాలు తీసుకోండి
43,43,Drug Reaction,Consume antioxidants,యాంటీఆక్సిడెంట్లు తీసుకోండి
44,44,Drug Reaction,Avoid trigger foods,ప్రేరేపక ఆహారాలు నివారించండి
45,45,Drug Reaction,Include omega-3 fatty acids,ఒమేగా-3 ఫ్యాటీ ఆమ్లాలు ఉన్న ఆహారం తీసుకోండి
46,46,Drug Reaction,Limit caffeine and alcohol,కెఫిన్ మరియు ఆల్కహాల్ ను పరిమితం చేయండి
47,47,Drug Reaction,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
48,48,Drug Reaction,Eat a balanced diet,సమతుల్య ఆహారం తినండి
49,49,Drug Reaction,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
50,50,Peptic ulcer disease,"Consume smaller, more frequent meals","చిన్న, తరచుగా భోజనాలు తినండి"
51,51,Peptic ulcer disease,"Avoid trigger foods (spicy, acidic)","ప్రేరేపక ఆహారాలు (మసాలా, ఆమ్లం) నివారించండి"
52,52,Peptic ulcer disease,Include high-fiber foods,ఫైబర్ ఎక్కువగా ఉన్న ఆహారం తినండి
53,53,Peptic ulcer disease,Limit caffeine and alcohol,కెఫిన్ మరియు ఆల్కహాల్ ను పరిమితం చేయండి
54,54,Peptic ulcer disease,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
55,55,Peptic ulcer disease,Consume probiotics,ప్రొబయోటిక్స్ తీసుకోండి
56,56,Peptic ulcer disease,Include lean proteins,తక్కువ కొవ్వు ఉన్న ప్రోటీన్లు తీసుకోండి
57,57,Peptic ulcer disease,Include antioxidant-rich foods,యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉన్న ఆహారం తినండి
58,58,Peptic ulcer disease,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
59,59,Peptic ulcer disease,Avoid smoking and alcohol,ధూమపానం మరియు ఆల్కహాల్ నివారించండి
60,60,AIDS,Follow a balanced and nutritious diet,సమతుల్య మరియు పోషక ఆహారం అనుసరించండి
61,61,AIDS,Include lean proteins,తక్కువ కొవ్వు ఉన్న ప్రోటీన్లు తీసుకోండి
62,62,AIDS,Consume nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
63,63,AIDS,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
64,64,AIDS,Include healthy fats,ఆరోగ్యకరమైన కొవ్వులు తీసుకోండి
65,65,AIDS,Avoid raw or undercooked foods,కచ్చి లేదా సగసగా వండిన ఆహారాలు నివారించండి
66,66,AIDS,Limit sugary foods and beverages,చక్కెర పదార్థాలు మరియు పానీయాలు పరిమితం చేయండి
67,67,AIDS,Consume immune-boosting foods,రోగనిరోధక శక్తిని పెంచే ఆహారం తినండి
68,68,AIDS,Take prescribed supplements,నిర్దేశించిన సప్లిమెంట్స్ తీసుకోండి
69,69,AIDS,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
70,70,Diabetes,Monitor carbohydrate intake,కార్బోహైడ్రేట్ తీసుకోవడాన్ని పర్యవేక్షించండి
71,71,Diabetes,Eat balanced meals,సమతుల్య భోజనాలు తినండి
72,72,Diabetes,Include lean proteins,తక్కువ కొవ్వు ఉన్న ప్రోటీన్లు తీసుకోండి
73,73,Diabetes,Consume high-fiber foods,ఫైబర్ ఎక్కువగా ఉన్న ఆహారం తినండి
74,74,Diabetes,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
75,75,Diabetes,Limit sugary foods and beverages,చక్కెర పదార్థాలు మరియు పానీయాలు పరిమితం చేయండి
76,76,Diabetes,Include healthy fats,ఆరోగ్యకరమైన కొవ్వులు తీసుకోండి
77,77,Diabetes,Monitor blood sugar levels,రక్తంలో చక్కెర స్థాయిని పర్యవేక్షించండి
78,78,Diabetes,Consult a registered dietitian,నమోదిత ఆహార నిపుణుని సంప్రదించండి
79,79,Diabetes,Take prescribed medications as directed,నిర్దేశించిన మందులు సక్రమంగా తీసుకోండి
80,80,Gastroenteritis,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
81,81,Gastroenteritis,Consume clear fluids,స్పష్టమైన ద్రవాలు తీసుకోండి
82,82,Gastroenteritis,"Follow the BRAT diet (bananas, rice, applesauce, toast)","BRAT ఆహారం (అరటి పండు, బియ్యం, ఆపిల్ సాస్, టోస్ట్) అనుసరించండి"
83,83,Gastroenteritis,Include bland foods,సాధారణ ఆహారం తినండి
84,84,Gastroenteritis,Avoid fatty and greasy foods,కొవ్వు మరియు నూనె ఎక్కువగా ఉన్న ఆహారాలు నివారించండి
85,85,Gastroenteritis,Limit caffeine and alcohol,కెఫిన్ మరియు ఆల్కహాల్ ను పరిమితం చేయండి
86,86,Gastroenteritis,Avoid spicy foods,మసాలా ఆహారాలు నివారించండి
87,87,Gastroenteritis,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
88,88,Gastroenteritis,Gradually reintroduce solid foods,క్రమంగా ఘన ఆహారం తినండి
89,89,Gastroenteritis,Avoid dairy products,పాల ఉత్పత్తులు నివారించండి
90,90,Bronchial Asthma,Include anti-inflammatory foods,ఎంపికైన ఆహారాలు తీసుకోండి
91,91,Bronchial Asthma,Consume omega-3 fatty acids,ఒమేగా-3 ఫ్యాటీ ఆమ్లాలు ఉన్న ఆహారం తీసుకోండి
92,92,Bronchial Asthma,Limit sodium intake,సోడియం తీసుకోవడం పరిమితం చేయండి
93,93,Bronchial Asthma,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
94,94,Bronchial Asthma,Include antioxidant-rich foods,యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉన్న ఆహారం తినండి
95,95,Bronchial Asthma,Avoid sulfite-containing foods,సల్ఫైట్ ఉన్న ఆహారాలు నివారించండి
96,96,Bronchial Asthma,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
97,97,Bronchial Asthma,Consume magnesium-rich foods,మెగ్నీషియం ఎక్కువగా ఉన్న ఆహారం తినండి
98,98,Bronchial Asthma,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
99,99,Bronchial Asthma,Avoid trigger foods,ప్రేరేపక ఆహారాలు నివారించండి
100,100,Hypertension,Follow the DASH diet (Dietary Approaches to Stop Hypertension),"DASH ఆహారం (హైపర్టెన్షన్ ఆపడానికి ఆహార విధానాలు) అనుసరించండి"
101,101,Hypertension,Limit sodium intake,సోడియం తీసుకోవడం పరిమితం చేయండి
102,102,Hypertension,Include potassium-rich foods,పొటాషియం ఎక్కువగా ఉన్న ఆహారం తినండి
103,103,Hypertension,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
104,104,Hypertension,Consume calcium-rich foods,కాల్షియం ఎక్కువగా ఉన్న ఆహారం తినండి
105,105,Hypertension,Limit alcohol consumption,ఆల్కహాల్ తీసుకోవడం పరిమితం చేయండి
106,106,Hypertension,Include magnesium-rich foods,మెగ్నీషియం ఎక్కువగా ఉన్న ఆహారం తినండి
107,107,Hypertension,Consume omega-3 fatty acids,ఒమేగా-3 ఫ్యాటీ ఆమ్లాలు ఉన్న ఆహారం తీసుకోండి
108,108,Hypertension,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
109,109,Hypertension,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
110,110,Migraine,Identify and avoid trigger foods,ప్రేరేపక ఆహారాలను గుర్తించి నివారించండి
111,111,Migraine,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
112,112,Migraine,Include magnesium-rich foods,మెగ్నీషియం ఎక్కువగా ఉన్న ఆహారం తినండి
113,113,Migraine,Consume omega-3 fatty acids,ఒమేగా-3 ఫ్యాటీ ఆమ్లాలు ఉన్న ఆహారం తీసుకోండి
114,114,Migraine,Limit caffeine and alcohol,కెఫిన్ మరియు ఆల్కహాల్ ను పరిమితం చేయండి
115,115,Migraine,Consume riboflavin-rich foods,రిబోఫ్లావిన్ ఎక్కువగా ఉన్న ఆహారం తినండి
116,116,Migraine,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
117,117,Migraine,Maintain regular meal times,నియమిత భోజన సమయాలు పాటించండి
118,118,Migraine,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
119,119,Migraine,Manage stress,ఒత్తిడిని నిర్వహించండి
120,120,Cervical spondylosis,Include anti-inflammatory foods,ఎంపికైన ఆహారాలు తీసుకోండి
121,121,Cervical spondylosis,Consume omega-3 fatty acids,ఒమేగా-3 ఫ్యాటీ ఆమ్లాలు ఉన్న ఆహారం తీసుకోండి
122,122,Cervical spondylosis,Include vitamin D-rich foods,విటమిన్ డి ఎక్కువగా ఉన్న ఆహారం తినండి
123,123,Cervical spondylosis,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
124,124,Cervical spondylosis,Consume antioxidant-rich foods,యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉన్న ఆహారం తినండి
125,125,Cervical spondylosis,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
126,126,Cervical spondylosis,Include lean proteins,తక్కువ కొవ్వు ఉన్న ప్రోటీన్లు తీసుకోండి
127,127,Cervical spondylosis,Practice good posture,మంచి భంగిమను పాటించండి
128,128,Cervical spondylosis,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
129,129,Cervical spondylosis,Engage in regular exercise,క్రమం తప్పకుండా వ్యాయామం చేయండి
130,130,Paralysis (brain hemorrhage),Follow a balanced and nutritious diet,సమతుల్య మరియు పోషక ఆహారం అనుసరించండి
131,131,Paralysis (brain hemorrhage),Include lean proteins,తక్కువ కొవ్వు ఉన్న ప్రోటీన్లు తీసుకోండి
132,132,Paralysis (brain hemorrhage),Consume nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
133,133,Paralysis (brain hemorrhage),Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
134,134,Paralysis (brain hemorrhage),Include healthy fats,ఆరోగ్యకరమైన కొవ్వులు తీసుకోండి
135,135,Paralysis (brain hemorrhage),Limit sugary foods and beverages,చక్కెర పదార్థాలు మరియు పానీయాలు పరిమితం చేయండి
136,136,Paralysis (brain hemorrhage),Include antioxidants,యాంటీఆక్సిడెంట్లు తీసుకోండి
137,137,Paralysis (brain hemorrhage),Consume foods rich in vitamin K,విటమిన్ కె ఎక్కువగా ఉన్న ఆహారం తినండి
138,138,Paralysis (brain hemorrhage),Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
139,139,Paralysis (brain hemorrhage),Manage stress,ఒత్తిడిని నిర్వహించండి
140,140,Jaundice,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
141,141,Jaundice,Consume nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
142,142,Jaundice,Include protein-rich foods,ప్రోటీన్ ఎక్కువగా ఉన్న ఆహారం తినండి
143,143,Jaundice,Consume easily digestible foods,సులభంగా జీర్ణమయ్యే ఆహారం తినండి
144,144,Jaundice,Limit fatty foods,కొవ్వు ఎక్కువగా ఉన్న ఆహారాలు పరిమితం చేయండి
145,145,Jaundice,Avoid alcohol and caffeine,ఆల్కహాల్ మరియు కెఫిన్ నివారించండి
146,146,Jaundice,Include vitamin C-rich foods,విటమిన్ సి ఎక్కువగా ఉన్న ఆహారం తినండి
147,147,Jaundice,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
148,148,Jaundice,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
149,149,Jaundice,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
150,150,Malaria,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
151,151,Malaria,Consume nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
152,152,Malaria,Include protein-rich foods,ప్రోటీన్ ఎక్కువగా ఉన్న ఆహారం తినండి
153,153,Malaria,Consume foods rich in antioxidants,యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉన్న ఆహారం తినండి
154,154,Malaria,Limit fatty and greasy foods,కొవ్వు మరియు నూనె ఎక్కువగా ఉన్న ఆహారాలు పరిమితం చేయండి
155,155,Malaria,Avoid alcohol and caffeine,ఆల్కహాల్ మరియు కెఫిన్ నివారించండి
156,156,Malaria,Include vitamin C-rich foods,విటమిన్ సి ఎక్కువగా ఉన్న ఆహారం తినండి
157,157,Malaria,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
158,158,Malaria,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
159,159,Malaria,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
160,160,Chicken pox,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
161,161,Chicken pox,Include easily digestible foods,సులభంగా జీర్ణమయ్యే ఆహారం తినండి
162,162,Chicken pox,Include vitamin C-rich foods,విటమిన్ సి ఎక్కువగా ఉన్న ఆహారం తినండి
163,163,Chicken pox,Consume protein-rich foods,ప్రోటీన్ ఎక్కువగా ఉన్న ఆహారం తినండి
164,164,Chicken pox,Include zinc-rich foods,జింక్ ఎక్కువగా ఉన్న ఆహారం తినండి
165,165,Chicken pox,Avoid spicy and acidic foods,మసాలా మరియు ఆమ్ల ఆహారాలు నివారించండి
166,166,Chicken pox,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
167,167,Chicken pox,Practice good hygiene,మంచి శుభ్రతను పాటించండి
168,168,Chicken pox,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
169,169,Chicken pox,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
170,170,Dengue,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
171,171,Dengue,Include nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
172,172,Dengue,Consume foods rich in vitamin C and antioxidants,విటమిన్ సి మరియు యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉన్న ఆహారం తినండి
173,173,Dengue,Limit fatty and greasy foods,కొవ్వు మరియు నూనె ఎక్కువగా ఉన్న ఆహారాలు పరిమితం చేయండి
174,174,Dengue,Avoid caffeine and alcohol,కెఫిన్ మరియు ఆల్కహాల్ నివారించండి
175,175,Dengue,Include soft and easily digestible foods,మృదువైన మరియు సులభంగా జీర్ణమయ్యే ఆహారం తినండి
176,176,Dengue,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
177,177,Dengue,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
178,178,Dengue,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
179,179,Dengue,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
180,180,Typhoid,Consume easily digestible foods,సులభంగా జీర్ణమయ్యే ఆహారం తినండి
181,181,Typhoid,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
182,182,Typhoid,Include nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
183,183,Typhoid,Consume foods rich in vitamin C and antioxidants,విటమిన్ సి మరియు యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉన్న ఆహారం తినండి
184,184,Typhoid,Include protein-rich foods,ప్రోటీన్ ఎక్కువగా ఉన్న ఆహారం తినండి
185,185,Typhoid,Avoid fatty and greasy foods,కొవ్వు మరియు నూనె ఎక్కువగా ఉన్న ఆహారాలు నివారించండి
186,186,Typhoid,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
187,187,Typhoid,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
188,188,Typhoid,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
189,189,Typhoid,Avoid alcohol and caffeine,ఆల్కహాల్ మరియు కెఫిన్ నివారించండి
190,190,hepatitis A,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
191,191,hepatitis A,Consume nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
192,192,hepatitis A,Include protein-rich foods,ప్రోటీన్ ఎక్కువగా ఉన్న ఆహారం తినండి
193,193,hepatitis A,Consume easily digestible foods,సులభంగా జీర్ణమయ్యే ఆహారం తినండి
194,194,hepatitis A,Limit fatty foods,కొవ్వు ఎక్కువగా ఉన్న ఆహారాలు పరిమితం చేయండి
195,195,hepatitis A,Avoid alcohol and caffeine,ఆల్కహాల్ మరియు కెఫిన్ నివారించండి
196,196,hepatitis A,Include vitamin C-rich foods,విటమిన్ సి ఎక్కువగా ఉన్న ఆహారం తినండి
197,197,hepatitis A,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
198,198,hepatitis A,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
199,199,hepatitis A,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
200,200,Hepatitis B,Follow a balanced and nutritious diet,సమతుల్య మరియు పోషక ఆహారం అనుసరించండి
201,201,Hepatitis B,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
202,202,Hepatitis B,Include protein-rich foods,ప్రోటీన్ ఎక్కువగా ఉన్న ఆహారం తినండి
203,203,Hepatitis B,Consume nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
204,204,Hepatitis B,Limit fatty foods,కొవ్వు ఎక్కువగా ఉన్న ఆహారాలు పరిమితం చేయండి
205,205,Hepatitis B,Avoid alcohol and caffeine,ఆల్కహాల్ మరియు కెఫిన్ నివారించండి
206,206,Hepatitis B,Include vitamin C-rich foods,విటమిన్ సి ఎక్కువగా ఉన్న ఆహారం తినండి
207,207,Hepatitis B,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
208,208,Hepatitis B,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
209,209,Hepatitis B,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
210,210,Hepatitis C,Follow a balanced and nutritious diet,సమతుల్య మరియు పోషక ఆహారం అనుసరించండి
211,211,Hepatitis C,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
212,212,Hepatitis C,Include protein-rich foods,ప్రోటీన్ ఎక్కువగా ఉన్న ఆహారం తినండి
213,213,Hepatitis C,Consume nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
214,214,Hepatitis C,Limit fatty foods,కొవ్వు ఎక్కువగా ఉన్న ఆహారాలు పరిమితం చేయండి
215,215,Hepatitis C,Avoid alcohol and caffeine,ఆల్కహాల్ మరియు కెఫిన్ నివారించండి
216,216,Hepatitis C,Include vitamin C-rich foods,విటమిన్ సి ఎక్కువగా ఉన్న ఆహారం తినండి
217,217,Hepatitis C,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
218,218,Hepatitis C,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
219,219,Hepatitis C,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
220,220,Hepatitis D,Follow a balanced and nutritious diet,సమతుల్య మరియు పోషక ఆహారం అనుసరించండి
221,221,Hepatitis D,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
222,222,Hepatitis D,Include protein-rich foods,ప్రోటీన్ ఎక్కువగా ఉన్న ఆహారం తినండి
223,223,Hepatitis D,Consume nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
224,224,Hepatitis D,Limit fatty foods,కొవ్వు ఎక్కువగా ఉన్న ఆహారాలు పరిమితం చేయండి
225,225,Hepatitis D,Avoid alcohol and caffeine,ఆల్కహాల్ మరియు కెఫిన్ నివారించండి
226,226,Hepatitis D,Include vitamin C-rich foods,విటమిన్ సి ఎక్కువగా ఉన్న ఆహారం తినండి
227,227,Hepatitis D,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
228,228,Hepatitis D,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
229,229,Hepatitis D,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
230,230,Hepatitis E,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
231,231,Hepatitis E,Consume nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
232,232,Hepatitis E,Include protein-rich foods,ప్రోటీన్ ఎక్కువగా ఉన్న ఆహారం తినండి
233,233,Hepatitis E,Consume easily digestible foods,సులభంగా జీర్ణమయ్యే ఆహారం తినండి
234,234,Hepatitis E,Limit fatty foods,కొవ్వు ఎక్కువగా ఉన్న ఆహారాలు పరిమితం చేయండి
235,235,Hepatitis E,Avoid alcohol and caffeine,ఆల్కహాల్ మరియు కెఫిన్ నివారించండి
236,236,Hepatitis E,Include vitamin C-rich foods,విటమిన్ సి ఎక్కువగా ఉన్న ఆహారం తినండి
237,237,Hepatitis E,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
238,238,Hepatitis E,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
239,239,Hepatitis E,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
240,240,Alcoholic hepatitis,Avoid alcohol consumption,ఆల్కహాల్ తీసుకోవడం నివారించండి
241,241,Alcoholic hepatitis,Follow a balanced and nutritious diet,సమతుల్య మరియు పోషక ఆహారం అనుసరించండి
242,242,Alcoholic hepatitis,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
243,243,Alcoholic hepatitis,Consume nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
244,244,Alcoholic hepatitis,Include protein-rich foods,ప్రోటీన్ ఎక్కువగా ఉన్న ఆహారం తినండి
245,245,Alcoholic hepatitis,Limit fatty foods,కొవ్వు ఎక్కువగా ఉన్న ఆహారాలు పరిమితం చేయండి
246,246,Alcoholic hepatitis,Include antioxidants,యాంటీఆక్సిడెంట్లు తీసుకోండి
247,247,Alcoholic hepatitis,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
248,248,Alcoholic hepatitis,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
249,249,Alcoholic hepatitis,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
250,250,Tuberculosis,Consume a high-protein diet,అధిక ప్రోటీన్ ఆహారం తినండి
251,251,Tuberculosis,Include nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
252,252,Tuberculosis,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
253,253,Tuberculosis,Consume foods rich in vitamins A and C,విటమిన్లు ఎ మరియు సి ఎక్కువగా ఉన్న ఆహారం తినండి
254,254,Tuberculosis,Include zinc-rich foods,జింక్ ఎక్కువగా ఉన్న ఆహారం తినండి
255,255,Tuberculosis,Limit sugary foods and beverages,చక్కెర పదార్థాలు మరియు పానీయాలు పరిమితం చేయండి
256,256,Tuberculosis,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
257,257,Tuberculosis,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
258,258,Tuberculosis,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
259,259,Tuberculosis,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
260,260,Common Cold,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
